train_acc,train_loss,val_acc,val_loss
0.029536842105263156,4.3883486,0.034800000000000005,4.4058022
0.05315789473684211,4.1094117,0.062,3.9840064
0.06913684210526316,3.979109,0.068,4.1122947
0.08433684210526317,3.8935435,0.0916,3.988206
0.09545263157894737,3.8089921,0.10360000000000001,3.8292441
0.11155789473684212,3.722207,0.1152,3.6719937
0.12846315789473686,3.6329374,0.142,3.5413013
0.14442105263157892,3.5528057,0.15600000000000003,3.5080192
0.15785263157894736,3.4638848,0.1648,3.4155478
0.17298947368421055,3.3832638,0.17800000000000002,3.3540773
0.1844,3.3200953,0.1696,3.386759
0.19749473684210528,3.244673,0.2024,3.204096
0.20610526315789474,3.183827,0.2148,3.1736631
0.2201684210526316,3.1167161,0.19319999999999996,3.203255
0.22945263157894738,3.0569715,0.22920000000000001,3.0704334
0.24338947368421054,2.988769,0.2316,3.02035
0.25261052631578945,2.9301326,0.25920000000000004,2.890476
0.2668,2.8642004,0.2568,2.920699
0.276,2.8112025,0.27040000000000003,2.8105416
0.2863578947368421,2.7608778,0.2888,2.774063
0.29757894736842105,2.7114055,0.2892,2.7089198
0.30690526315789474,2.661474,0.30119999999999997,2.733453
0.3168,2.619155,0.31120000000000003,2.6765866
0.32581052631578944,2.5734205,0.3116,2.6446242
0.33347368421052637,2.5311286,0.3184,2.6035383
0.3417684210526315,2.4955242,0.3272,2.6123993
0.34915789473684217,2.4651217,0.32120000000000004,2.5661774
0.3592631578947368,2.4180753,0.3392,2.4996252
0.36566315789473686,2.3860805,0.34279999999999994,2.5051458
0.36882105263157894,2.3615785,0.3484,2.4735432
0.37583157894736846,2.3270035,0.35159999999999997,2.4459891
0.38412631578947365,2.2952757,0.36800000000000005,2.4069216
0.38905263157894737,2.2727315,0.37640000000000007,2.333297
0.39806315789473684,2.2426825,0.3664,2.3292117
0.4018105263157895,2.2086577,0.36839999999999995,2.3829045
0.40810526315789475,2.1879659,0.35519999999999996,2.4560235
0.4137263157894737,2.1659293,0.36519999999999997,2.3991358
0.4194526315789474,2.1381695,0.3796,2.2719867
0.42486315789473683,2.1222916,0.3912,2.2675912
0.4301473684210526,2.0955672,0.3884,2.3542979
0.43505263157894736,2.0757518,0.3868000000000001,2.29742
0.43941052631578953,2.0491517,0.38520000000000004,2.351884
0.44359999999999994,2.0304513,0.3896,2.2603152
0.44842105263157894,2.0106037,0.41,2.171147
0.4530315789473684,1.990791,0.3972,2.263991
0.4599789473684211,1.973573,0.4092,2.218503
0.46408421052631577,1.9446645,0.41,2.1444178
0.4669894736842105,1.9352663,0.42599999999999993,2.1747036
0.46962105263157894,1.9153332,0.41960000000000003,2.1729767
0.47317894736842103,1.8972796,0.43560000000000004,2.1102216
0.4779578947368421,1.8844397,0.43079999999999996,2.137889
0.48244210526315795,1.8624023,0.41159999999999997,2.2174969
0.48526315789473684,1.8542103,0.4328,2.0998583
0.4902947368421052,1.830446,0.4396,2.0842814
0.49353684210526316,1.8167098,0.41559999999999997,2.1758306
0.4960421052631579,1.809354,0.44439999999999996,2.0469701
0.49837894736842103,1.7984877,0.43199999999999994,2.0935662
0.503621052631579,1.776021,0.4576,2.030987
0.5090526315789474,1.7658339,0.452,2.0071306
0.5097894736842106,1.7497714,0.44,2.07167
0.5133052631578948,1.7394415,0.4596,1.9914583
0.5184421052631579,1.7155604,0.4524,2.0056999
0.5208,1.7032535,0.4428,2.059842
0.5218105263157895,1.6967324,0.4612,1.9943814
0.5243789473684211,1.6817985,0.456,2.0151067
0.5274315789473685,1.6805352,0.4604,2.0178258
0.5309263157894737,1.6635344,0.4583999999999999,1.9821521
0.5333263157894738,1.6509494,0.46559999999999996,2.0091493
0.5375157894736843,1.6412138,0.46279999999999993,1.9743041
0.5395368421052631,1.6274892,0.46879999999999994,1.9795307
0.5416842105263158,1.6215487,0.47,1.984551
0.5450947368421053,1.60697,0.4628,1.9801959
0.5454736842105263,1.599717,0.472,1.9407725
0.5489052631578948,1.5911957,0.46440000000000003,1.9769778
0.5519368421052632,1.5776051,0.4756,1.9666923
0.5546105263157894,1.5748906,0.4696,1.9453173
0.5556000000000001,1.5616275,0.47879999999999995,1.9390062
0.5594105263157894,1.5532985,0.47759999999999997,1.9622834
0.5576842105263158,1.5486836,0.4864,1.932937
0.5605684210526315,1.5412502,0.4759999999999999,1.9382346
0.5581684210526315,1.5427961,0.4792,1.9350488
0.5649263157894737,1.5250849,0.47800000000000004,1.9171662
0.5658526315789473,1.5258396,0.4844,1.9161365
0.5660842105263157,1.5177764,0.4808,1.913461
0.5709263157894737,1.5109439,0.48,1.9222641
0.5686105263157895,1.5089612,0.4808,1.9267217
0.5683157894736842,1.5044715,0.4832000000000001,1.9178716
0.5703157894736841,1.5018563,0.4888,1.912195
0.5727999999999999,1.4924458,0.482,1.9186058
0.5733263157894738,1.4887794,0.48160000000000003,1.9212105
0.5738947368421053,1.4901825,0.48479999999999995,1.9118471
0.5730526315789475,1.489142,0.48719999999999997,1.9140989
0.574021052631579,1.488118,0.4836,1.928529
0.5716842105263158,1.4897646,0.484,1.9044803
0.5786315789473685,1.4745598,0.48599999999999993,1.9168631
0.5803368421052633,1.4707085,0.4868,1.9122345
0.5795368421052631,1.4729834,0.48680000000000007,1.9173769
0.5771368421052632,1.4722137,0.48519999999999996,1.9122527
0.5769473684210527,1.4773593,0.48440000000000005,1.9219934
0.5789263157894737,1.4725589,0.4864,1.9121618
